observed_at,bar_start,bar_end,bar_timeframe,pair,close,buy_volume,sell_volume,volume,delta,delta_direction,speed_score,prior_speed_score,speed_change_pct,speed_change_ratio,speed_lifecycle,eligible_for_paper_entry,flow_ready,flow_reason,record_type,source_event_key,delta_norm
2026-08-13T06:16:00.417999+00:00,1786601400,1786601700,5m,DOT/USD,0.7748,14.61485031,3.9,18.51485031,10.71485031,UP,0.5787165508009986,0.041600049591539796,1291.1438964214412,13.911438964214414,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,DOT/USD|5m|1786601400,0.57871655
2026-08-13T06:20:34.325189+00:00,1786601700,1786602000,5m,BTC/USD,63768.5,1.0591971700000002,0.23690091000000002,1.29609808,0.8222962600000002,UP,0.6344398411577002,0.3777594059224842,67.94812550289922,1.6794812550289921,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,BTC/USD|5m|1786601700,0.63443984
2026-08-13T06:20:34.325204+00:00,1786601700,1786602000,5m,ETH/USD,1892.23,1.5985291199999998,14.96201904,16.56054816,-13.36348992,DOWN,0.8069473178597972,0.21154885239650809,281.4472679564945,3.814472679564945,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,ETH/USD|5m|1786601700,0.80694732
2026-08-13T06:20:34.325220+00:00,1786601700,1786602000,5m,XRP/USD,1.01202,1458.3897719999998,309.12275669,1767.51252869,1149.2670153099998,UP,0.6502171818616665,0.09680730030287416,571.6613104873063,6.716613104873063,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,XRP/USD|5m|1786601700,0.65021718
2026-08-13T06:20:34.325235+00:00,1786601700,1786602000,5m,ADA/USD,0.184391,1203.9528489499999,0.0,1203.95284895,1203.9528489499999,UP,0.9999999999999998,0.3047834837754854,228.10176838080767,3.281017683808077,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,ADA/USD|5m|1786601700,1.0
2026-08-13T06:20:34.325265+00:00,1786601700,1786602000,5m,LINK/USD,8.76193,68.60233,0.0,68.60233,68.60233,UP,1.0,0.4265306536311524,134.44973801689812,2.3444973801689812,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,LINK/USD|5m|1786601700,1.0
2026-08-13T06:20:49.562589+00:00,1786601700,1786602000,5m,AVAX/USD,6.535,362.74743275,6.36410549,369.11153824,356.38332726,UP,0.9655166266524998,0.15354049137022097,528.8351808933711,6.288351808933711,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,AVAX/USD|5m|1786601700,0.96551663
2026-08-13T06:25:23.481578+00:00,1786602000,1786602300,5m,XRP/USD,1.01184,10757.138328640001,207.15753954000002,10964.29586818,10549.980789100002,UP,0.9622123404857761,0.6502171818616665,47.98322273349067,1.4798322273349067,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,XRP/USD|5m|1786602000,0.96221234
2026-08-13T06:30:12.626989+00:00,1786602300,1786602600,5m,DOT/USD,0.7746,0.0,3.91187543,3.91187543,-3.91187543,DOWN,1.0,0.24585880670342175,306.73751467698895,4.06737514676989,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,DOT/USD|5m|1786602300,1.0
2026-08-13T06:30:12.627005+00:00,1786602300,1786602600,5m,AAVE/USD,89.18,15.223107569999996,5.0,20.22310757,10.223107569999996,UP,0.5055161544591437,0.11654338765855288,333.7579030568406,4.337579030568405,SPEED_INCREASING,True,True,,delta_tempo_v4_observation,AAVE/USD|5m|1786602300,0.50551615
2026-08-13T06:30:43.079457+00:00,1786602300,1786602600,5m,SOL/USD,76.38,6.54913266,0.0,6.54913266,6.54913266,UP,1.0,0.4497364335186606,122.35245478694526,2.2235245478694527,SPEED_INCREASING,False,True,,delta_tempo_v4_observation,SOL/USD|5m|1786602300,1.0
