strategy,entry_timeframe,buffer_atr,cost_pct,raw_candidates,overlap_skipped,selected,win_pct,avg_net_pnl_usd,median_net_pnl_usd,profit_factor,max_drawdown_usd,stop_pct
RTS,15m,0.25,0.0,72,30,42,19.047619047619047,-3.4449058967521866,-25.0,0.817122997175139,333.62066846616904,73.80952380952381
RTS,15m,0.25,0.01,72,30,42,19.047619047619047,-13.180980289953387,-28.570387651799997,0.5243904732778247,697.3817341148516,73.80952380952381
RTS,15m,0.25,0.02,72,30,42,19.047619047619047,-22.917054683154593,-32.140775303599995,0.37368763601369137,1061.1427997635342,73.80952380952381
RTS,15m,0.25,0.05,72,30,42,19.047619047619047,-52.125277862758196,-43.444615285266146,0.17549665474446202,2204.4599051307514,73.80952380952381
RTS,5m,0.25,0.0,67,32,35,37.142857142857146,34.996477216508794,-25.0,3.2270485501414687,178.0435128597191,62.857142857142854
RTS,5m,0.25,0.01,67,32,35,34.285714285714285,8.664723283827588,-27.34165040554686,1.2209325580208337,838.8947868958396,62.857142857142854
RTS,5m,0.25,0.02,67,32,35,28.571428571428573,-17.667030648853622,-29.683300811093723,0.7193692142371171,1537.4183800837939,62.857142857142854
RTS,5m,0.25,0.05,67,32,35,28.571428571428573,-96.66229244689724,-36.708252027734304,0.2811240039483953,3644.839258806135,62.857142857142854
RTS,15m,0.5,0.0,74,35,39,25.641025641025642,-5.28271825807393,-25.0,0.6879006597462525,374.72364364038134,66.66666666666667
RTS,15m,0.5,0.01,74,35,39,23.076923076923077,-9.33012679431864,-27.17283780658921,0.5276762650167343,525.9896644450046,66.66666666666667
RTS,15m,0.5,0.02,74,35,39,20.512820512820515,-13.377535330563349,-29.34567561317842,0.41973924444451394,677.2556852496277,66.66666666666667
RTS,15m,0.5,0.05,74,35,39,20.512820512820515,-25.51976093929748,-36.30744240831902,0.2345563039342017,1131.0537476634975,66.66666666666667
RTS,5m,0.5,0.0,70,33,37,32.432432432432435,10.249337223616969,-25.0,1.6470764864803051,186.62822081828062,59.45945945945946
RTS,5m,0.5,0.01,70,33,37,29.72972972972973,2.279060532070486,-26.52039323056169,1.1109756780106639,228.47325687329374,59.45945945945946
RTS,5m,0.5,0.02,70,33,37,27.027027027027028,-5.691216159475997,-28.969851656638138,0.7856293626050291,429.3011785246614,59.45945945945946
RTS,5m,0.5,0.05,70,33,37,27.027027027027028,-29.60204623411545,-35.04883658181423,0.36750169610845673,1222.7840240828225,59.45945945945946
